country_name,gdp
Afghanistan,..
Albania,18882095517.9
Algeria,191912889420.9
American Samoa,..
Andorra,3352032737.0
Angola,106713618735.4
Antigua and Barbuda,1757603703.7
Argentina,632770284408.5
Armenia,19502783987.9
Aruba,..
Australia,1675418665067.1
Austria,471400066091.2
Azerbaijan,78721058823.5
Bahamas The,12897400000.0
Bahrain,44390820478.7
Bangladesh,460201000095.1
Barbados,5637914514.6
Belarus,72793457588.4
Belgium,578604103123.3
Belize,2824081836.2
Benin,17401746309.3
Bermuda,7550500000.0
Bhutan,..
Bolivia,43068885672.9
Bosnia and Herzegovina,24527507287.8
Botswana,20352322157.1
Brazil,1920095560995.1
British Virgin Islands,..
Brunei Darussalam,16681531645.7
Bulgaria,89040398406.4
Burkina Faso,18884619613.4
Burundi,3073414677.8
Cape Verde,2314816792.1
Cambodia,29956769529.4
Cameroon,44341646509.2
Canada,2139840023673.8
Cayman Islands,..
Central African Republic,2382618615.4
Chad,12704149842.0
Channel Islands,..
Chile,301025249437.9
China,17963170521079.8
Colombia,343939445259.5
Comoros,1242519407.3
Congo Dem. Rep.,58065953573.3
Congo Rep.,14615532210.1
Costa Rica,68380838316.3
Cote d'Ivoire,70018715016.7
Croatia,70964606464.6
Cuba,..
Curacao,..
Cyprus,28439052740.9
Czechia,290923534700.5
Denmark,395403906582.0
Djibouti,3515109075.5
Dominica,612048148.1
Dominican Republic,113641857434.0
Ecuador,115049476000.0
Egypt Arab Rep.,476747720364.7
El Salvador,32488720000.0
Equatorial Guinea,11813908447.8
Eritrea,..
Estonia,38100812958.5
Eswatini,4854167638.4
Ethiopia,126783472501.1
Faroe Islands,..
Fiji,4943248200.0
Finland,280825957768.5
France,2782905325624.5
French Polynesia,..
Gabon,21071739227.9
The Gambia,2273060863.1
Georgia,24605375420.1
Germany,4072191736089.5
Ghana,72838798787.7
Gibraltar,..
Greece,219065872466.3
Greenland,..
Grenada,1256413185.2
Guam,..
Guatemala,95003333381.2
Guinea,21227749388.7
Guinea-Bissau,1633559092.1
Guyana,15357537068.3
Haiti,20253551885.2
Honduras,31717700115.3
Hong Kong SAR China,359838598806.1
Hungary,178788572067.6
Iceland,27841648044.4
India,3385089881935.4
Indonesia,1319100220389.0
Iran Islamic Rep.,388544468139.7
Iraq,264182173793.1
Ireland,529244870222.8
Isle of Man,..
Israel,522033446211.6
Italy,2010431598465.4
Jamaica,17097760745.2
Japan,4231141201863.2
Jordan,47451499859.2
Kazakhstan,220623001966.7
Kenya,113420008178.8
Kiribati,223352943.2
Korea Dem. People's Rep.,..
South Korea,1665245538595.0
Kosovo,9429156202.0
Kuwait,184558274288.7
Kyrgyz Republic,10930644915.2
Lao PDR,15724383783.2
Latvia,41153912662.9
Lebanon,..
Lesotho,2553459762.8
Liberia,4001047150.0
Libya,45752336036.0
Liechtenstein,..
Lithuania,70334299008.4
Luxembourg,82274812250.9
Macao SAR China,21979475560.6
Madagascar,14954967604.4
Malawi,13164667626.9
Malaysia,406305924656.1
Maldives,6189865408.2
Mali,18827176532.3
Malta,17765270014.8
Marshall Islands,279667900.0
Mauritania,10375460680.4
Mauritius,12898307089.1
Mexico,1414187193992.3
Micronesia Fed. Sts.,427094119.1
Moldova,14420947883.6
Monaco,..
Mongolia,16810883360.9
Montenegro,6095978867.7
Morocco,134181587769.8
Mozambique,17851491427.7
Myanmar,59364362540.6
Namibia,12607436975.9
Nauru,150922211.0
Nepal,40828247302.5
Netherlands,991114635529.2
New Caledonia,..
New Zealand,247234053739.3
Nicaragua,15671583878.0
Niger,13969605582.5
Nigeria,477386120635.8
North Macedonia,13563132057.2
Northern Mariana Islands,..
Norway,579267365866.3
Oman,114667360208.1
Pakistan,376532751807.0
Palau,..
Panama,76522511780.6
Papua New Guinea,30633444294.6
Paraguay,41722295362.1
Peru,242631549613.3
Philippines,404284327311.7
Poland,688176605954.8
Portugal,251945377529.4
Puerto Rico,113434800000.0
Qatar,237295575171.1
Romania,301261582924.1
Russian Federation,2240422438363.3
Rwanda,13312796765.2
Samoa,832421565.4
San Marino,..
Sao Tome and Principe,546680341.6
Saudi Arabia,1108148978218.5
Senegal,27684430244.5
Serbia,63501748652.3
Seychelles,1588406479.2
Sierra Leone,3970343852.3
Singapore,466788539651.8
Sint Maarten (Dutch part),1571564245.8
Slovakia,115468803971.5
Slovenia,62117768014.9
Solomon Islands,1595710784.3
Somalia,8126105600.0
South Africa,405869718462.3
South Sudan,..
Spain,1397509272054.5
Sri Lanka,74403578363.4
St. Kitts and Nevis,961563259.3
St. Lucia,2065027555.6
St. Martin (French part),..
St. Vincent and the Grenadines,948558503.1
Sudan,51662241775.2
Suriname,3620655116.2
Sweden,585939170123.9
Switzerland,807706035351.8
Syrian Arab Republic,..
Tajikistan,10492123387.8
Tanzania,75709289056.4
Thailand,495340592811.2
Timor-Leste,3163324631.0
Togo,8126439480.6
Tonga,..
Trinidad and Tobago,27899082337.4
Tunisia,46664948951.7
Turkiye,905987824096.1
Turkmenistan,..
Turks and Caicos Islands,1138808881.1
Tuvalu,60349391.1
Uganda,45559202048.7
Ukraine,160502739236.1
United Arab Emirates,507534921715.5
United Kingdom,3070667732359.2
United States of America,25462700000000.0
Uruguay,71177146197.5
Uzbekistan,80391853884.8
Vanuatu,983582864.6
Venezuela RB,..
Viet Nam,408802379068.2
Virgin Islands (U.S.),..
West Bank and Gaza,19111900000.0
Yemen Rep.,..
Zambia,29784454055.9
Zimbabwe,20678055597.7
